sl,product_id,name,product_weight,package_weight
1,8886482930453_ACCOC004,COCO & EVE PRO YOUTH SCALP MASSAGER,85,35
2,8436553843092_ACDES028,DESSATA DETANGLING BRUSH SMALL GREEN & WHITE,65,38
3,8436553843139_ACDES029,DESSATA DETANGLING BRUSH SMALL SOFT PINK & WHITE,65,38
4,8436553843108_ACDES030,DESSATA DETANGLING BRUSH SMALL PINK & WHITE,65,38
5,8436553842828_ACDES034,DESSATA DETANGLING BRUSH GOLD & BLACK,105,42
6,5060282707658_ACLEE007,LEE STAFFORD PADDLE BRUSH WIDE PIN,120,45
7,5060282707610_ACLEE008,LEE STAFFORD BRUSH CURL DEFINING,90,40
8,5060282707207_ACLEE009,LEE STAFFORD PICK COMB DOUBLE LIFT,25,25
9,736658954029_ACWET003,WETBRUSH ORIGINAL DETANGLER BRUSH BLACK,90,40
10,736658953183_ACWET051,WETBRUSH PADDLE BRUSH PINK,115,45
11,736658538243_ACWET089,WETBRUSH ORIGINAL DETANGLER COLOR WASH STRIPES,90,40
12,3616304693847_CGADI764,ADIDAS 50ML ROLL ON CHAMPIONS LEAGUE ANTI PERSPERANT,50,42
13,3616303842154_CGADI779,ADIDAS 50ML ROLL ON ANTI PERSPIRANT FRESH ENDURANCE,50,42
14,3616303444150_CGADI784,ADIDAS 400ML SHOWER GEL REFILL DEEP CARE,400,32
15,3616303440282_CGADI794,ADIDAS 150ML ANTI-PERSPIRANT DEODORANT SPRAY COOL & DRY,150,55
16,3616303443962_CGADI813,ADIDAS 250ML SHOWER GEL COOL DOWN,250,48
17,3616303444563_CGADI815,ADIDAS 250ML SHOWER GEL DEEP CLEAN,250,48
18,3616303444457_CGADI816,ADIDAS 400ML SHOWER GEL REFILL ENERGY KICK,400,32
19,3616304240508_CGADI820,ADIDAS 250ML SHOWER GEL DYNAMIC PULSE,250,48
20,3616303322045_CGADI827,ADIDAS 75ML DEODORANT NATURAL SPRAY PURE GAME,75,105
21,3616303440398_CGADI856,ADIDAS 150ML ANTI-PERSPIRANT DEODORANT SPRAY PRO,150,55
22,3616305264688_CGADI857,ADIDAS 250ML SHOWER GEL MUSCLE RELAX,250,48
23,3616303441579_CGADI861,ADIDAS 150ML DEODORANT BODY SPRAY AFTER SPORT,150,55
24,3616303842550_CGADI865,ADIDAS 150ML ANTI-PERSPIRANT DEODORANT SPRAY FRESH,150,55
25,3616304693748_CGADI872,ADIDAS 150ML ANTI-PERSPIRANT DEODORANT SPRAY UEFA STAR,150,55
26,3616304475108_CGADI885,ADIDAS 50ML DEODORANT ROLL ON BEST OF THE BEST,50,42
27,3616303439965_CGADI889A,ADIDAS 50ML ROLL ON COOL & DRY INTENSIVE,50,42
28,3616307161152_CGADI890,ADIDAS 50ML ROLL ON DEODORANT ACTIVE ENDURANCE,50,42
29,3616303842437_CGADI891,ADIDAS 150ML ANTI-PERSPIRANT DEODORANT SPRAY POWER BOOSTER,150,55
30,3616303441562_CGADI892,ADIDAS 150ML DEODORANT BODY SPRAY AFTER SPORT,150,55
31,3616303441043_CGADI894,ADIDAS 150ML DEODORANT BODY SPRAY VICTORY LEAGUE,150,55
32,3616303458904_CGADI896,ADIDAS 400ML SHOWER GEL AFTER SPORT,400,58
33,5026445000318_CGBLU047,BLUE STRATOS 150ML BODY SPRAY,150,55
34,5026445000325_CGBLU052,BLUE STRATOS 100ML PRE-ELECTRIC SHAVING LOTION ORIGINAL,100,115
35,8886467049453_CGBRU081,BRUT 500ML SHOWER GEL ORIGINAL,500,62
36,8886467049477_CGBRU083,BRUT 500ML ALL-IN-ONE HAIR & BODY SHOWER GEL,500,62
37,8718114650197_CGLYN165,LYNX 150ML DEODORANT BODY SPRAY EXCITE,150,52
38,8001090962966_CGOLD169,OLD SPICE 150ML DEODORANT BODY SPRAY CAPTAIN,150,55
39,8700216937085_CGOLD205,OLD SPICE 50ML DEODORANT STICK WOLFTHORN,50,50
40,8700216908511_CGOLD266,OLD SPICE 50ML DEODORANT STICK BEARGLOVE,50,50
41,8700216931847_CGOLD267,OLD SPICE 50ML DEODORANT STICK DEEP SEA,50,50
42,5026445000486_CGRAP025A,RAPPORT 150ML BODY SPRAY SPORT,150,55
43,5026445000462_CGRAP026,RAPPORT 150ML BODY SPRAY BLACK,150,55
44,5026445000462_CGRAP026A,RAPPORT 150ML BODY SPRAY BLACK,150,55
45,5026445003135_CGRAP027A,RAPPORT 150ML BODY SPRAY CHROME,150,55
